SheepID,Sex,Year_,Month_,Day_
21F,F,2009,2,27
21F,F,2009,2,28
21F,F,2009,2,28
21F,F,2009,3,8
21F,F,2009,3,9
21F,F,2009,3,10
21F,F,2009,3,11
21F,F,2009,3,11
21F,F,2009,3,12
21F,F,2009,3,12
21F,F,2009,3,13
21F,F,2009,3,13
21F,F,2010,1,21
21F,F,2010,1,22
21F,F,2010,1,22
21F,F,2010,12,18
21F,F,2010,12,18
21F,F,2010,12,18
21F,F,2010,12,19
21F,F,2010,12,19
21F,F,2010,12,20
21F,F,2010,12,20
22F,F,2010,1,11
22F,F,2010,1,12
22F,F,2010,1,12
22F,F,2010,1,21
22F,F,2010,1,22
22F,F,2010,1,22
23F,F,2010,1,3
23F,F,2010,1,3
23F,F,2010,1,4
23F,F,2010,1,4
23F,F,2010,1,5
23F,F,2010,1,5
23F,F,2010,1,5
23F,F,2010,1,6
23F,F,2010,1,6
23F,F,2010,1,7
23F,F,2010,1,7
23F,F,2010,12,25
23F,F,2010,12,26
23F,F,2010,12,26
33F,F,2009,3,9
33F,F,2009,3,10
33F,F,2009,3,10
33F,F,2009,3,11
33F,F,2009,3,11
33F,F,2009,3,12
33F,F,2009,3,13
33F,F,2010,1,21
33F,F,2010,1,24
33F,F,2010,1,24
33F,F,2010,1,25
21F,F,2009,2,28
21F,F,2009,3,1
21F,F,2009,3,8
21F,F,2009,3,8
21F,F,2009,3,18
21F,F,2009,3,18
21F,F,2009,3,18
21F,F,2009,3,19
21F,F,2011,1,18
21F,F,2011,1,21
21F,F,2010,12,17
21F,F,2010,12,28
21F,F,2010,12,29
21F,F,2010,12,29
21F,F,2011,1,1
22F,F,2009,2,27
22F,F,2009,2,28
22F,F,2009,2,28
22F,F,2009,2,28
22F,F,2009,3,11
22F,F,2009,3,12
22F,F,2011,1,26
22F,F,2011,1,26
22F,F,2011,1,27
22F,F,2011,1,27
22F,F,2011,1,28
22F,F,2011,1,28
22F,F,2011,1,29
22F,F,2011,1,30
22F,F,2011,1,31
22F,F,2011,1,31
22F,F,2011,2,1
22F,F,2011,2,2
22F,F,2011,2,2
22F,F,2011,2,3
22F,F,2011,2,3
22F,F,2011,2,5
22F,F,2011,2,6
22F,F,2011,2,6
22F,F,2011,2,8
22F,F,2011,2,21
22F,F,2011,2,21
22F,F,2011,3,5
22F,F,2011,3,19
22F,F,2009,12,25
22F,F,2009,12,26
22F,F,2009,12,26
22F,F,2009,12,27
22F,F,2009,12,27
22F,F,2009,12,28
22F,F,2009,12,28
22F,F,2009,12,29
22F,F,2009,12,29
22F,F,2009,12,30
22F,F,2009,12,31
22F,F,2010,1,7
22F,F,2010,1,8
22F,F,2010,1,8
22F,F,2010,1,9
22F,F,2010,1,9
22F,F,2010,1,10
22F,F,2010,1,10
22F,F,2010,1,11
22F,F,2010,1,12
22F,F,2010,1,13
22F,F,2010,1,13
22F,F,2010,1,14
22F,F,2010,1,14
22F,F,2010,1,18
22F,F,2010,1,19
22F,F,2010,1,22
22F,F,2010,12,16
22F,F,2010,12,17
22F,F,2010,12,18
22F,F,2010,12,18
22F,F,2010,12,19
22F,F,2010,12,19
22F,F,2010,12,20
22F,F,2010,12,20
22F,F,2010,12,20
22F,F,2010,12,22
22F,F,2011,1,19
22F,F,2011,1,19
22F,F,2011,1,20
22F,F,2011,1,21
22F,F,2011,1,22
22F,F,2011,1,23
22F,F,2011,1,24
22F,F,2011,1,24
22F,F,2011,1,24
22F,F,2011,1,25
22F,F,2011,1,25
22F,F,2010,2,23
22F,F,2010,2,24
22F,F,2010,2,24
22F,F,2010,2,25
22F,F,2010,2,25
22F,F,2010,2,26
22F,F,2010,2,26
22F,F,2010,3,5
22F,F,2010,3,8
22F,F,2010,3,8
23F,F,2009,2,27
23F,F,2009,2,28
